ID , Last,  First, Lecture, Tutorial, A1, A2, A3, A4, A5
6949172, Lee, Mary, L00, T03, 7.0, 10.0, 6.0, 10.0, 10.0
5347756, Bing, Maria, L01, T01, 6.5, 10.0, 3.5, 5.5, 10.0
3883790, Lee, James, L00, T01, 2.5, 0.0, 2.0, 6.0, 8.0
3491702, Taylor, Lisa, L01, T00, 9.5, 3.5, 1.5, 0.0, 7.5
1772013, Taylor, Maria, L00, T00, 10.0, 10.0, 8.5, 5.0, 6.5
7797001, Taylor, Mary, L00, T05, 0.5, 10.0, 7.0, 9.0, 3.5
3779832, Freeman, Mary, L00, T06, 3.0, 8.5, 9.5, 1.5, 1.0
2764348, Taylor, Lisa, L00, T01, 5.0, 10.0, 6.0, 5.5, 3.0
4355810, Miller, Robert, L00, T08, 4.0, 0.0, 4.5, 10.0, 6.0
2487196, Miller, Mary, L00, T03, 0.0, 2.5, 9.5, 3.0, 3.0
5607343, Miller, Helen, L00, T05, 2.0, 4.0, 4.5, 7.0, 3.0
9870722, Thomas, Mary, L01, T09, 7.0, 7.5, 5.0, 6.5, 2.0
5198171, Johnson, Lisa, L00, T04, 9.5, 10.0, 8.0, 0.0, 6.0
6781563, Moore, John, L01, T03, 4.0, 2.0, 7.0, 1.5, 7.5
8045304, Miller, Maria, L01, T01, 5.0, 6.0, 0.5, 9.0, 5.0
4709115, Bing, James, L00, T01, 7.5, 3.5, 4.5, 4.5, 10.0
9166710, Moore, John, L01, T02, 1.5, 2.0, 4.5, 10.0, 8.5
5235075, Thomas, John, L01, T08, 1.5, 4.0, 6.0, 1.5, 2.0
6655062, Johnson, Mary, L00, T09, 4.5, 3.5, 3.5, 4.0, 2.5
6659234, Johnson, Robert, L01, T06, 9.5, 4.0, 1.0, 3.0, 10.0
3643171, Bing, Mary, L00, T01, 6.0, 3.5, 6.0, 1.0, 6.5
5529407, Bing, Robert, L01, T03, 3.5, 8.0, 7.5, 6.0, 2.5
4319838, Jones, John, L01, T08, 5.5, 2.5, 10.0, 3.0, 5.5
5987576, Davis, Robert, L00, T03, 6.5, 9.0, 7.5, 9.5, 3.0
